COUNTRY,Delta,UNITA_MISURA
MOROCCO,32.0,CF
TURKEY,27.0,CF
UGANDA,14.0,CF
Spain,10.0,CF
FRANCE,3.0,CF
Norway,3.0,CF
EGYPT,1.0,CF
Islamic Republic of Iran,1.0,CF
Nigeria,0.0,CF
Oman,0.0,CF
Portugal,14722.0,KG
PAKISTAN,18.0,KG
AFGHANISTAN,0.0,KG
PERU,0.0,KG
Netherlands,0.0,KG
New Zealand,0.0,KG
Nigeria,0.0,KG
Norway,0.0,KG
Oman,0.0,KG
PANAMA,0.0,KG
South Africa,215.0,LT
Sudan,210.0,LT
Azerbaijan,200.0,LT
ITALY,190.0,LT
PAKISTAN,140.0,LT
ZAMBIA,90.0,LT
Spain,85.0,LT
TANZANIA,70.0,LT
CANADA,65.0,LT
Namibia,65.0,LT
MOROCCO,8.0,MQ
Oman,2.0,MQ
Canary Islands,0.09987792968749998,MQ
AFGHANISTAN,0.0,MQ
PERU,0.0,MQ
New Zealand,0.0,MQ
Nigeria,0.0,MQ
Norway,0.0,MQ
PAKISTAN,0.0,MQ
PANAMA,0.0,MQ
EGYPT,1126456.1664648438,MT
Spain,672403.2968359375,MT
PAKISTAN,650048.594375,MT
POLAND,640932.509609375,MT
Iraq,509664.963671875,MT
ITALY,472414.088046875,MT
MOROCCO,453530.513984375,MT
Kuwait,436520.10585937503,MT
KENYA,398924.203125,MT
TURKEY,391401.756796875,MT
Saudi Arabia,171749.0,N
ALGERIA,167916.0,N
Iraq,112951.0,N
Islamic Republic of Iran,102326.0,N
MOROCCO,99892.0,N
ITALY,95538.0,N
TURKEY,93724.0,N
EGYPT,85569.0,N
Spain,79853.0,N
POLAND,79400.0,N
